Conta;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
1 - Receita Bruta;125973772,6;149903694,9;156951075,5;130967335;125274247,1;101752877,3;134668438,6;168794667,1;121247540,2;134356448,6;102828199;108146347,3
2.1 - Devoluções;-2579117,544;-1709729,823;-1948922,961;-2161037,332;-2804196,272;-2250479,334;-2260124,119;-2676600,299;-2839026,453;-1935627,637;-2925463,256;-1675391,534
2.2.1 - Descontos sobre Contratos;-1871510,557;-1197833,293;-1562983,608;-1587072,028;-2086131,803;-1330773,373;-1916076,586;-1355037,568;-1729998,813;-1792214,234;-2087765,657;-1208964,108
2.2.2 - Bonificações e Doações;-31274,8585;-33665,79106;-25948,73293;-20393,0254;-27142,73079;-20475,56817;-23321,34356;-27892,08008;-24582,30632;-26183,57072;-32223,89436;-33506,72811
2.3 - Fretes sobre entregas;-67596,10514;-58110,256;-93496,42423;-52399,19151;-56729,21825;-84400,84178;-90477,87622;-95263,95715;-56846,22674;-51555,74197;-55825,25246;-71212,97683
2.4.1 - ICMS;-2013769,121;-2421999,304;-2730063,501;-2162677,257;-2786071,447;-1539953,803;-1884261,599;-2097942,312;-1919617,287;-1558860,523;-2518255,931;-1717611,023
2.4.2 - PIS;-147237,2405;-120166,4911;-81879,91024;-108034,6346;-99520,28622;-133778,2436;-130509,652;-102125,4865;-131071,051;-91408,40164;-94450,58985;-95674,65111
2.4.3 - COFINS;-644360,5185;-795500,9805;-598036,7134;-741312,4689;-732549,2362;-715965,7576;-557265,9043;-605592,0569;-756744,9844;-472105,2241;-669289,3784;-626379,4368
4.1.1 - Salários;-7021712,867;-6746741,843;-10033129,4;-8549560,274;-6643606,917;-9620246,43;-10217196,44;-9071572,839;-10623923,35;-6155340,443;-5897269,255;-8497689,669
4.1.2 - Encargos;-2728220,444;-3407665,806;-4332530,262;-2382898,056;-2690210,032;-2366810,068;-2355671,565;-4149501,042;-3060035,773;-3327129,143;-3114134,777;-4155947,07
4.1.3 - Benefícios;-3573855,228;-2902761,588;-3471173,943;-2885669,127;-2400032,367;-2268343,675;-3995110,375;-3774449,989;-2317907,853;-2628750,11;-3592864,161;-4010827,533
4.2 - Matéria-prima;-110889846,5;-92987486,61;-87001544,72;-115185362,1;-74547732,9;-104041570,8;-65057984,82;-75912861,96;-94114328,23;-117851773,6;-106264407,8;-75219185,88
4.3 - Insumos;-501801,3943;-644794,8041;-460073,1465;-454911,5008;-683645,6211;-500853,3251;-371921,3778;-396106,6646;-425610,7352;-581446,5596;-605664,735;-620342,3051
4.4 - Produtos Químicos;-3682472,666;-3350113,075;-3833608,107;-2456226,75;-2920517,213;-3228132,421;-3801720,701;-2693490,039;-3565903,986;-2453638,266;-2604809,239;-3345273,326
4.5 - Energia Elétrica;-1369900,457;-1533318,068;-1024731,891;-1000821,177;-1007193,686;-1534983,738;-1048192,768;-1511161,234;-1336900,848;-896548,3576;-1019338,756;-1267657,846
4.6 - Água;-241575,8884;-234413,5304;-323511,1636;-299643,2069;-326231,9779;-329362,384;-270101,3938;-246301,4505;-247702,1135;-262739,8137;-234755,7342;-228289,3378
4.7 - Outros Custos de Produção;-83680,71008;-122612,3491;-117018,8145;-122459,9541;-97164,33098;-131098,079;-78188,80884;-88385,8706;-106405,2724;-77020,32289;-78558,12008;-81843,36942
6.1.1 - Salários;-2066648,829;-3099610,875;-1826517,858;-1747997,272;-2994409,929;-2769834,469;-1843261,248;-1932971,956;-2665585,904;-2925536,108;-2400450,898;-1818360,85
6.1.2 - Encargos;-565145,1313;-776012,7991;-792675,4145;-830577,6449;-727656,2521;-944497,1233;-841804,4425;-891355,0378;-845418,9344;-977176,7461;-865207,5956;-781877,4083
6.1.3 - Benefícios;-655910,6606;-700182,429;-891918,9074;-746194,8124;-678694,2126;-914480,968;-849574,0362;-716029,3514;-814701,2152;-593727,2337;-774146,7643;-872977,2384
6.2.1 - Serviços Terceirizados;-24047,48822;-16437,16739;-23458,96167;-24066,74748;-16975,30978;-23253,62699;-13541,82644;-22532,09141;-18330,99569;-16050,28626;-22212,60939;-18991,03478
6.2.2 - Peças;-46454,88912;-71246,35571;-60118,93328;-59722,80202;-59123,22123;-44344,28657;-53414,94658;-56022,05022;-45595,93374;-50671,2334;-54592,36004;-60235,46231
6.3.1 - Links de Internet;-1415,901032;-2065,762402;-1952,762467;-2189,265634;-1347,638446;-1487,077049;-1860,222785;-1293,408661;-1544,114934;-1634,719637;-1633,876531;-1336,764316
6.3.2 - Serviços Cloud;-3861,164266;-3918,085807;-4394,841438;-4070,643167;-2954,789636;-3455,342103;-4344,649967;-4430,959982;-4119,530217;-3232,379317;-2880,295271;-4900,23906
6.3.3 - Licenças de Software;-2325,482362;-2019,639598;-3154,730525;-3452,721695;-2904,540418;-2025,596607;-2645,361086;-2917,587304;-2354,764211;-3098,393332;-2182,305945;-2124,148454
6.3.4 - Consultorias em TI;-2600,352954;-2434,783111;-2296,524918;-2455,132884;-1527,85154;-2362,657253;-2219,560418;-2343,043719;-1789,862308;-2470,173417;-1734,218394;-2290,620084
6.4 - Aluguéis;-79942,45459;-67708,71786;-63230,18814;-109110,4145;-96889,89084;-73665,55145;-79869,64241;-70094,84699;-97082,97566;-110328,9009;-101229,3249;-102259,6844
6.5 - Materiais de Segurança;-4707,251536;-5775,503978;-4658,435465;-6623,595734;-4015,821715;-5172,702066;-5297,944559;-4018,642611;-6014,66177;-3697,205587;-4109,939172;-6679,826911
6.6 - Materiais de Escritório;-13212,37073;-16648,67704;-18186,23492;-10893,19612;-11169,40881;-11444,1288;-15793,81733;-12258,72446;-14677,84258;-18112,75683;-15312,77855;-13964,42084
6.7.1 - Hospedagem;-3414,01226;-2578,09583;-2041,45145;-3163,688173;-2479,781223;-2464,016365;-2348,07712;-1960,674165;-2066,421568;-1888,154765;-2379,159342;-2174,252433
6.7.2 - Pássagens aéreas;-1834,41004;-1439,322241;-1844,515176;-1457,479114;-1421,112514;-1700,071873;-1178,341074;-1199,185338;-1319,081787;-1140,594485;-1487,661617;-1407,968794
6.7.3 - Alimentação;-180,8785024;-121,1318834;-143,112907;-128,3263777;-152,4457598;-122,3952423;-159,2638191;-130,6347725;-139,3180727;-135,7624038;-199,3050171;-179,2487658
6.8 - Outras despesas;-5858,363602;-6669,669458;-8052,101669;-5969,488329;-6082,364307;-6997,658151;-5965,088466;-6725,99169;-4467,130912;-4802,577576;-8032,39962;-8056,828417
8.1 - Despesas Bancárias;-52071,00154;-41636,18753;-37109,77793;-48067,87181;-35890,26031;-50220,51282;-60169,06616;-62332,60196;-56259,76208;-35213,05182;-48407,69097;-36196,73599
8.2 - Receita Aplicações;1000084,208;586852,8321;857119,902;708018,3324;583493,0131;725370,2827;705684,1921;563616,0926;768931,1219;664074,3139;924394,1236;581301,5527
8.3.1 - Perdas Mercado Variável;-129313,0052;-136794,864;-134152,8089;-118794,1326;-193889,8677;-130895,5851;-145358,487;-135735,1757;-158586,0273;-166753,3987;-136545,425;-117800,5412
8.3.2 - Ganhos Mercado Variável;222107,1472;243488,4103;235128,1857;183839,3493;217192,3037;283080,4821;274394,2789;181795,5828;271063,5786;257017,0421;282951,3531;234947,7529
